AddressLine	City	Municipality	AdminDivision	Country	PostCode	Latitude	Longitude	Phone	IsWiFiHotSpot	IsWheelchairAccessible	Opens	Closes
12669 S Dixie Hwy	Miami		FL	US	33156	25.65385	-80.32947	(239) 555-0168	False	True	600	2300
350 Ocean Dr	Miami Beach		FL	US	33139	25.77258	-80.13225	(239) 555-0181	False	True	600	2300
6655 Ashcroft Dr	Houston		TX	US	77081	29.70894	-95.49112	(210) 555-0117	False	True	600	2300
2941 N Clark St	Chicago		IL	US	60657	41.93603	-87.64775	(217) 555-0138	True	True	900	2400
3 North St	Windsor Locks		CT	US	06096	41.93644	-72.63067	(203) 555-0134	False	False	700	1800
3144 N Narragansett Ave	Chicago		IL	US	60634	41.93676	-87.78566	(217) 555-0164	False	True	700	1800
1094 Bay St	Taunton		MA	US	02780	41.93703	-71.11111	(339) 555-0190	False	True	800	2200
28 Pleasant Rd	Enfield		CT	US	06082	41.93742	-72.60954	(203) 555-0101	False	True	700	1800
169 Pine St	Attleboro		MA	US	02703	41.9375	-71.28221	(339) 555-0166	False	True	800	2200
517 W Lake St	Addison		IL	US	60101	41.93757	-88.00082	(217) 555-0132	True	True	700	1800
503 W Lake St	Addison		IL	US	60101	41.93768	-88.00106	(217) 555-0192	False	False	700	1800
613 W Lake St	Addison		IL	US	60101	41.93898	-88.00413	(217) 555-0105	False	False	700	1800
332 W Army Trail Rd	Bloomingdale		IL	US	60108	41.93914	-88.10544	(217) 555-0112	False	True	700	1800
2441 University Blvd	Houston		TX	US	77005	29.71493	-95.41568	(210) 555-0131	False	True	800	2200
3215 N Sheffield Ave	Chicago		IL	US	60657	41.94124	-87.65433	(217) 555-0191	False	True	800	2200
3426 N Harlem Ave	Chicago		IL	US	60634	41.94286	-87.80675	(217) 555-0116	False	True	800	2200
3656 N Central Ave	Chicago		IL	US	60634	41.9473	-87.76663	(217) 555-0193	True	False	730	2330
3638 N Pulaski Rd	Chicago		IL	US	60641	41.94788	-87.72732	(217) 555-0178	False	True	800	2200
2515 Riverside Dr	Houston		TX	US	77004	29.71588	-95.37608	(210) 555-0160	False	False	700	1800
3747 N Southport Ave	Chicago		IL	US	60613	41.94951	-87.66426	(217) 555-0172	True	True	700	1800
3763 N Southport Ave	Chicago		IL	US	60613	41.95087	-87.66429	(217) 555-0147	False	False	700	1800
3900 N Lincoln Ave	Chicago		IL	US	60613	41.95302	-87.67789	(217) 555-0181	True	True	700	1800
4441 W Irving Park Rd	Chicago		IL	US	60641	41.95338	-87.73985	(217) 555-0100	False	True	800	2200
3930 N Pulaski Rd	Chicago		IL	US	60641	41.95347	-87.72749	(217) 555-0171	True	True	1000	2000
410 E Green St	Bensenville		IL	US	60106	41.95351	-87.93353	(217) 555-0166	False	False	600	2300
1011 W Irving Park Rd	Chicago		IL	US	60613	41.95434	-87.6552	(217) 555-0158	False	False	700	1800
4200 River Rd	Schiller Park		IL	US	60176	41.95497	-87.8579	(217) 555-0176	False	True	600	2300
14 Union St	Plymouth		MA	US	02360	41.9559	-70.661	(339) 555-0182	False	False	700	1800
109 Franklin St	Bloomingdale		IL	US	60108	41.95671	-88.08156	(217) 555-0115	True	True	900	2400
4237 N Cicero Ave	Chicago		IL	US	60641	41.95856	-87.74755	(217) 555-0165	False	False	600	2300
34 S Park Ave	Plymouth		MA	US	02360	41.96094	-70.66879	(339) 555-0139	False	True	800	2200
4126 W Montrose Ave	Chicago		IL	US	60641	41.96103	-87.73122	(217) 555-0186	True	True	600	2300
4445 N Pulaski Rd	Chicago		IL	US	60630	41.9614	-87.72799	(217) 555-0177	False	False	1000	2000
4429 N Broadway St	Chicago		IL	US	60640	41.96289	-87.65602	(217) 555-0158	True	False	700	1800
4618 N Lincoln Ave	Chicago		IL	US	60625	41.96533	-87.68624	(217) 555-0160	False	False	700	1800
4747 N Harlem Ave	Harwood Heights		IL	US	60706	41.96597	-87.80727	(217) 555-0188	True	True	700	1800
350 N Wood Dale Rd	Wood Dale		IL	US	60191	41.96601	-87.97871	(217) 555-0147	False	False	700	1800
4701 N Cumberland Ave	Harwood Heights		IL	US	60706	41.96637	-87.83669	(217) 555-0159	False	True	700	1800
4607 N Wolcott Ave	Chicago		IL	US	60640	41.96654	-87.67629	(217) 555-0123	False	False	600	2300
7309 W Lawrence Ave	Harwood Heights		IL	US	60706	41.96704	-87.8101	(217) 555-0130	False	True	800	2200
925 W Irving Park Rd	Itasca		IL	US	60143	41.97288	-88.0309	(217) 555-0197	False	True	800	2200
2536 Nottingham St	Houston		TX	US	77005	29.72239	-95.4175	(210) 555-0122	False	True	700	1800
6166 W Higgins Ave	Chicago		IL	US	60630	41.97435	-87.78247	(217) 555-0181	False	False	700	1800
5146 N Clark St	Chicago		IL	US	60640	41.9759	-87.66832	(217) 555-0184	True	True	700	1800
5153 N Broadway St	Chicago		IL	US	60640	41.97599	-87.66001	(217) 555-0154	False	False	900	2400
1512 W Foster Ave	Chicago		IL	US	60640	41.97632	-87.66877	(217) 555-0141	False	True	700	1800
5361 N Harlem Ave	Chicago		IL	US	60656	41.97815	-87.80714	(217) 555-0165	False	False	800	2200
130 Mansfield Ave	Norton		MA	US	02766	41.97902	-71.2028	(339) 555-0154	False	False	700	1800
3249 Southwest Fwy	Houston		TX	US	77027	29.72924	-95.42929	(210) 555-0112	False	False	600	2300
5335 N Sheridan Rd	Chicago		IL	US	60640	41.97957	-87.65522	(217) 555-0174	False	False	600	2300
394 E Irving Park Rd	Roselle		IL	US	60172	41.98363	-88.07538	(217) 555-0116	True	True	600	2300
5691 N Milwaukee Ave	Chicago		IL	US	60646	41.98441	-87.77589	(217) 555-0135	False	False	700	1800
136 Main St	Kingston		MA	US	02364	41.98777	-70.71554	(339) 555-0167	False	False	1000	2000
5943 N Northwest Hwy	Chicago		IL	US	60631	41.98826	-87.79196	(217) 555-0114	False	True	700	1800
3449 W Peterson Ave	Chicago		IL	US	60659	41.99019	-87.71564	(217) 555-0164	True	True	730	2330
3431 W Peterson Ave	Chicago		IL	US	60659	41.99019	-87.71545	(217) 555-0115	False	False	600	2300
86 Spring St	Bridgewater		MA	US	02324	41.99322	-70.97225	(339) 555-0198	False	False	800	2200
136 Broad St	Bridgewater		MA	US	02324	41.99393	-70.97383	(339) 555-0187	False	False	700	1800
25 Palomba Dr	Enfield		CT	US	06082	41.9955	-72.57304	(203) 555-0151	False	True	700	1800
10233 W Higgins Rd	Des Plaines		IL	US	60018	41.99655	-87.87726	(217) 555-0115	False	True	800	2200
800 Devon Ave	Park Ridge		IL	US	60068	41.99666	-87.83542	(217) 555-0164	True	True	900	2400
2006 Lexington St	Houston		TX	US	77098	29.73186	-95.40892	(210) 555-0198	False	False	700	1800
6340 N Western Ave	Chicago		IL	US	60659	41.9969	-87.68977	(217) 555-0158	False	False	600	2300
5345 W Devon Ave	Chicago		IL	US	60646	41.99716	-87.76265	(217) 555-0103	False	True	800	2200
3935 W Devon Ave	Chicago		IL	US	60659	41.99716	-87.72775	(217) 555-0161	True	True	700	1800
